region,indice_depense,part_alimentation_pct,part_logement_pct,part_transport_pct,part_sante_pct,part_education_pct,part_habillement_pct,part_communication_pct,part_equipement_pct,part_autres_pct
Dakar,1.55,40.0,19.0,9.0,5.0,4.0,5.0,4.0,5.0,9.0
Thies,1.00,47.0,15.0,7.0,5.0,3.0,6.0,3.0,4.0,10.0
Diourbel,0.85,50.0,13.0,7.0,4.0,2.0,7.0,3.0,4.0,10.0
Kaolack,0.78,51.0,13.0,6.0,5.0,3.0,6.0,3.0,4.0,9.0
Saint-Louis,0.95,48.0,15.0,7.0,5.0,3.0,6.0,3.0,4.0,9.0
Louga,0.90,50.0,13.0,7.0,4.0,3.0,7.0,3.0,4.0,9.0
Fatick,0.75,53.0,12.0,6.0,5.0,3.0,6.0,2.0,4.0,9.0
Tambacounda,0.72,54.0,12.0,6.0,5.0,3.0,6.0,2.0,3.0,9.0
Kolda,0.68,55.0,11.0,6.0,5.0,3.0,6.0,2.0,3.0,9.0
Matam,0.85,50.0,13.0,7.0,5.0,3.0,6.0,3.0,4.0,9.0
Kaffrine,0.65,56.0,11.0,5.0,5.0,2.0,6.0,2.0,3.0,10.0
Ziguinchor,0.95,47.0,15.0,7.0,5.0,4.0,6.0,3.0,4.0,9.0
Sedhiou,0.65,56.0,11.0,5.0,5.0,3.0,6.0,2.0,3.0,9.0
Kedougou,0.70,54.0,12.0,6.0,5.0,3.0,6.0,2.0,3.0,9.0
