region,population,superficie_km2,part_nationale_pct,taux_urbain_pct,taille_menage
Dakar,4005932,547,22.1,96.5,6.0
Thies,2465189,6601,13.6,60.0,8.0
Diourbel,2084535,4824,11.5,58.0,11.0
Kaolack,1286974,5357,7.1,48.0,12.0
Saint-Louis,1214468,19034,6.7,52.0,9.0
Louga,1141963,24847,6.3,32.0,9.0
Fatick,1051331,7935,5.8,22.0,10.0
Tambacounda,978825,42364,5.4,33.0,12.0
Kolda,924446,13718,5.1,32.0,11.0
Matam,761308,29445,4.2,25.0,12.0
Kaffrine,761308,11181,4.2,20.0,12.0
Ziguinchor,598171,7339,3.3,58.0,7.0
Sedhiou,598171,7293,3.3,18.0,12.0
Kedougou,253769,16800,1.4,30.0,9.0
