region,arachide_t,mil_sorgho_t,riz_paddy_t,mais_t,horticulture_t
Dakar,0,0,0,0,260000
Thies,70000,80000,0,0,480000
Diourbel,150000,120000,0,0,60000
Kaolack,250000,150000,10000,70000,50000
Saint-Louis,0,10000,600000,15000,420000
Louga,120000,100000,0,0,130000
Fatick,190000,130000,30000,50000,55000
Tambacounda,190000,130000,70000,150000,35000
Kolda,160000,70000,200000,120000,25000
Matam,0,30000,130000,10000,15000
Kaffrine,260000,200000,0,90000,5000
Ziguinchor,0,0,160000,20000,45000
Sedhiou,30000,25000,180000,45000,20000
Kedougou,10000,5000,20000,30000,0
